ContentDatabase,SiteCollection,SiteCollectionOwner,SiteTemplateGalleryPath,SiteTemplateID,SiteTemplateName,SolutionName,WebApplication,WebUrl
Portal_Content_02,https://intranet.poc.com/sites/PriyaTestSiteTemplate,N/A,sites/PriyaTestSiteTemplate/_catalogs/solutions,f757cb61-f7ec-453b-af40-6ffabf969dc5,STOneTest.wsp,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/PriyaTestSiteTemplate
Portal_Content_02,https://intranet.poc.com/sites/HariCust1,N/A,sites/HariCust1/_catalogs/solutions,693794ab-3107-4773-b65d-8c63eb294ffc,contract1.wsp,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/HariCust1
Portal_Content_02,https://intranet.poc.com/sites/RashBlog,N/A,sites/RashBlog/_catalogs/solutions,bda75061-3645-4843-be70-a62f6c8d5345,st_RashBlog.wsp,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/RashBlog
Portal_Content_02,https://intranet.poc.com/sites/RashBlog,N/A,sites/RashBlog/_catalogs/solutions,321f7ee6-0534-43fd-910f-447937b9e564,st_RashBlog2.wsp,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/RashBlog
Team_Content_01,https://teams.poc.com/sites/RashTeamSiteOne,N/A,sites/RashTeamSiteOne/_catalogs/solutions,2d0f7f16-cc06-4acb-8ec3-667bbb96b228,ImportSiteTemplate.wsp,N/A,https://teams.poc.com/,https://teams.poc.com/sites/RashTeamSiteOne
Team_Content_01,https://teams.poc.com/sites/divTestSite,N/A,sites/divTestSite/_catalogs/solutions,1dcf838f-34c1-4403-aefc-c22f48d99f4e,CTSiteTemplate.wsp,N/A,https://teams.poc.com/,https://teams.poc.com/sites/divTestSite
Team_Content_01,https://teams.poc.com/sites/divTestSite,N/A,sites/divTestSite/_catalogs/solutions,fcdab6e9-9e2f-4977-a423-b50608c640eb,ERSiteTemplate.wsp,N/A,https://teams.poc.com/,https://teams.poc.com/sites/divTestSite
Team_Content_New,https://teams.poc.com/sites/TestSiteTemplateVidhi,N/A,sites/TestSiteTemplateVidhi/_catalogs/solutions,920182a0-b3b9-4fa2-8d74-641ceb8a2811,STTest.wsp,N/A,https://teams.poc.com/,https://teams.poc.com/sites/TestSiteTemplateVidhi
Team_Content_New,https://teams.poc.com/sites/TestERVidhi,N/A,sites/TestERVidhi/_catalogs/solutions,3d95afe8-bc72-49ef-a7a4-491bf2a19aca,SiteTemplateForTestERVidhi.wsp,N/A,https://teams.poc.com/,https://teams.poc.com/sites/TestERVidhi
Team_Content_New,https://teams.poc.com/sites/TestERVidhi,N/A,sites/TestERVidhi/_catalogs/solutions,e75661bc-6c03-4acd-97a2-86d4968438ed,SiteTemplateTest.wsp,N/A,https://teams.poc.com/,https://teams.poc.com/sites/TestERVidhi
