FeatureID,FeatureName,SolutionName,FeatureScope
375e707b-93c4-4e84-be6a-fcd4f8744cbb,FTCListItemER Feature1,ftclistitemer.wsp,Web
4184eeae-598c-46c7-8c3d-518d064f42c9,FTCMasterPageOne Feature1,ftcmasterpageone.wsp,Site
34726d5b-e047-49dd-a56f-64a59f824683,FTCMasterPageOne RashCustomMasterPage,ftcmasterpageone.wsp,Site
4204894e-cdb0-4a95-b8ae-3c110b63675e,FTCSCCTList Feature1,ftcscctlist.wsp,Web
1d5c51dd-6c30-4ad2-839f-b37f83e4ad2a,FTCSiteColumn Feature1,ftcsitecolumn.wsp,Web
cadbe7a3-a904-457d-9a38-a84107d238ec,FTCTextFile Feature1,ftctextfile.wsp,Web
75bd038f-1356-4aa8-b1c4-e923feac2c48,FTCVisualWebPart Feature1,ftcvisualwebpart.wsp,Site
04a45833-932b-4048-ac83-0491af47e60d,FTCVisualWebPartTesting Feature1,ftcvisualwebparttesting.wsp,Site
e9a3cac0-d2eb-4ff5-b2dd-bf7d0dc42c51,FTCWebPart Feature1,ftcwebpart.wsp,Site
96967f04-bb8f-45b9-8bb0-62d079022346,GPUserAddedWPScope Feature1,gpuseraddedwpscope.wsp,WebApplication
94e11770-aff2-46e7-9f58-1c4404b7d9b1,GroupUserAddedERFeature,groupuseraddeder.wsp,Site
96757ed7-9450-4671-a019-1550c95c1254,GrpUserAddedER Feature1,grpuseraddeder.wsp,Site
91c431c2-6ca5-44c2-9b7c-f5ffc41b4554,ISBN_Field_Type Feature1,isbn_field_type.wsp,Web
6f33e1fa-723b-4771-9e18-fa0470803735,ItemCTEventReceiver Feature1,itemcteventreceiver.wsp,Site
d073413c-3bd4-4fcc-a0ff-61e0e8043843,JDP.Transformation.DisableFeatureActivation Control,jdp.transformation.disablefeatureactivation.wsp,WebApplication
32a1e101-e77e-4951-9d34-8bb8fbc21025,"$Resources:kiewit.changeorder.core,KiewitChangeOrderSite_Name;",kiewit.changeorder.core.wsp,Site
336116b6-8280-455b-adaa-2f9d7b3e91c5,"$Resources:kiewit.changeorder.core,KiewitChangeOrdeWeb_Name;",kiewit.changeorder.core.wsp,Web
5c5dfb64-b756-4d29-bfcf-50cab5dab207,KWizCom Datasheet View for SharePoint 2013,kwizcom datasheet view for sharepoint 2013 v11.1.00.wsp,Site
eb515910-46ec-428b-88ba-91bc970f4faf,KWizCom Datasheet View for SharePoint 2013,kwizcom datasheet view for sharepoint 2013 v11.1.00.wsp,Web
055bf606-efdd-4e00-b36e-7685c855d9ab,KWizCom Cascading Lookup Field,kwizcom sharepoint cascading lookup plus field type 2013 v14.3.00 evaluation.wsp,Farm
055bf606-efdd-4e00-b36e-7685c855d9ab,KWizCom Cascading Lookup Field,kwizcom sharepoint cascading lookup plus field type v14.3.00 evaluation 2010 bc.wsp,Farm
fdfeeaf7-db7e-4073-9578-18ce8eda5c72,KWizCom Features Administration,kwizcom sharepoint foundation 2013 v13.3.77.wsp,Farm
b781c3a4-a714-4582-ae66-2ab0da239473,KWizCom Logging,kwizcom sharepoint foundation 2013 v13.3.77.wsp,Site
a76d1d41-2030-4ebf-a5da-2e5cc605b06b,KWizCom Site Collection License Management,kwizcom sharepoint foundation 2013 v13.3.77.wsp,Site
f0aa7e41-d055-42c3-8a93-760ec0f737ec,MissingWebPartPageCheck Feature1,missingwebpartpagecheck.wsp,Web
d75b8655-dbc4-42c4-9c4c-96328f2498c5,Activate Custom Master,mylabproject.wsp,Site
c5cef19b-c93d-4b04-b0f1-905e275195f8,myvwebpart Feature1,myvwebpart.wsp,Site
b7654b2f-3c38-437f-afde-c981bb7e5f20,"$Resources:NewsGatorWSS,NewsGatorSocialWebPartsFeatureTitle;",newsgator.core.wsp,Site
b1f0af18-53c2-4875-9f53-26f1637ff828,"$Resources:NewsGatorWSS,NewsGatorNewsFeedIntegrationFeatureTitle;",newsgator.core.wsp,Web
c5d7418c-a196-4ee7-8024-576607726854,"$Resources:NewsGatorWSS,FeatureTitle_Columns;",newsgator.core.wsp,Site
fd52fa6e-27bc-4a12-817f-f5f00231215b,"$Resources:NewsGatorWSS,RatingsFeatureTitle;",newsgator.core.wsp,Web
fb12eda7-b288-4faf-8b9c-20f3ed4f91e8,"$Resources:NewsGatorWSS,KeywordsFeatureTitle;",newsgator.core.wsp,Web
3732f402-de0e-4cfa-91d3-055dec3cb94e,Tag Note Column HIDDEN,newsgator.core.wsp,Site
50742a89-6bff-41f8-9a7f-201c2115ea40,"$Resources:NewsGatorWSS,BlogGhostWriterFeatureTitle;",newsgator.core.wsp,Web
e5881af9-4846-4f49-be1c-320dba619c7b,"$Resources:NewsGatorWSS,ActivityInstallerFeatureTitle;",newsgator.core.wsp,Farm
b5d5fe0a-27c7-4c42-b113-498f77ff03d5,"$Resources:NewsGatorWSS,TypeMapperFeatureTitle;",newsgator.core.wsp,Farm
0987c14c-98b7-47c7-b7c7-a2969d322788,"$Resources:NewsGatorWSS,NewsGatorSocialInstallerFeatureTitle;",newsgator.core.wsp,Farm
67251da4-be65-46bd-9e62-08aed3068425,"$Resources:NewsGatorWSS,MySiteLookoutFeatureTitle;",newsgator.core.wsp,Site
e953b8f2-23f5-46ae-9054-e7f634f3732b,"$Resources:NewsGatorWSS,FeatureTitle_MySiteFixer;",newsgator.core.wsp,Site
2b42b5a5-e174-4024-ba49-3769905fca36,"$Resources:NewsGatorWSS,NewsGatorAdditionalPageHeadFeatureTitle;",newsgator.core.wsp,Farm
722ef87a-10ff-49e9-a4c0-2b2d32255210,"$Resources:NewsGatorWSS,BlockLookout360_Web_FeatureTitle;",newsgator.core.wsp,Web
3f57dd4d-a75f-40a8-be85-1a2d32d7c48e,"$Resources:NewsGatorWSS,BlockLookout360_Site_FeatureTitle;",newsgator.core.wsp,Site
855fea8b-b443-4f99-9d94-56346e5a4425,"$Resources:NewsGatorWSS,BlockLookout360_WebApp_FeatureTitle;",newsgator.core.wsp,WebApplication
c0088822-0bad-4757-bf6d-84d465191292,"$Resources:NewsGatorWSS,ItemConversationFeatureTitle;",newsgator.core.wsp,WebApplication
5170e50e-25cd-4d0d-be18-4fe9ccf4be9b,"$Resources:NewsGatorWSS,NewsGatorTypeAheadHarvesterTitle;",newsgator.core.wsp,Farm
fec5d510-98a6-4729-aaf0-87893cd75c5f,"$Resources:NewsGatorWSS,AutoProvisionMySiteTitle;",newsgator.core.wsp,Farm
ff162387-0ca2-4807-864a-fde094df27d7,"$Resources:NewsGatorWSS,CustomStylesAndScriptsFeatureTitle;",newsgator.core.wsp,Farm
2719f650-6bcd-4575-9055-5f8c4bf81a2a,"$Resources:NewsGatorWSS,ChromeFixFeatureTitle;",newsgator.core.wsp,Farm
5ed9392e-5c44-4cd1-9e8b-4927b3bd36c1,"$Resources:NewsGatorWSS,Lookout360FarmFeatureTitle;",newsgator.core.wsp,Farm
