ContentDatabase,DeleteTransactionId,IsCustomized,PageLayout_AssociatedContentType,PageLayout_Name,PageLayout_ServerRelativeUrl,SiteCollection,SiteCollectionOwner,SolutionName,WebApplication,WebUrl
Portal_Content_01,0x,False,Article~0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF3900242457EFB8B24247815D688C526CD44D007BB82468AA36D6419BF73D4FFFB0F677,ArticlePageSimple.aspx,/sites/TMaster2publishing/_catalogs/masterpage/ArticlePageSimple.aspx,https://intranet.poc.com/sites/TMaster2publishing,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/TMaster2publishing
Portal_Content_01,0x,False,Leadership Blog Post~0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF3900242457EFB8B24247815D688C526CD44D007BB82468AA36D6419BF73D4FFFB0F67706,LeadershipBlogPost.aspx,/sites/testv/_catalogs/masterpage/LeadershipBlogPost.aspx,https://intranet.poc.com/sites/testv,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/testv
Portal_Content_01,0x,False,Leadership Blog Post~0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF3900242457EFB8B24247815D688C526CD44D007BB82468AA36D6419BF73D4FFFB0F67706,LeadershipBlogPost.aspx,/sites/TMaster2publishing/_catalogs/masterpage/LeadershipBlogPost.aspx,https://intranet.poc.com/sites/TMaster2publishing,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/TMaster2publishing
Portal_Content_01,0x,False,Leadership Messages~0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF3900242457EFB8B24247815D688C526CD44D007BB82468AA36D6419BF73D4FFFB0F67702,LeadershipMessagesPage.aspx,/sites/Publishing/_catalogs/masterpage/LeadershipMessagesPage.aspx,https://intranet.poc.com/sites/Publishing,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/Publishing
Portal_Content_01,0x,False,Leadership Messages~0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF3900242457EFB8B24247815D688C526CD44D007BB82468AA36D6419BF73D4FFFB0F67702,LeadershipMessagesPage.aspx,/sites/testv/_catalogs/masterpage/LeadershipMessagesPage.aspx,https://intranet.poc.com/sites/testv,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/testv
Portal_Content_01,0x,False,Leadership Messages~0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF3900242457EFB8B24247815D688C526CD44D007BB82468AA36D6419BF73D4FFFB0F67702,LeadershipMessagesPage.aspx,/sites/TMaster2publishing/_catalogs/masterpage/LeadershipMessagesPage.aspx,https://intranet.poc.com/sites/TMaster2publishing,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/TMaster2publishing
Portal_Content_01,0x,False,Leadership Profile~0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF3900242457EFB8B24247815D688C526CD44D007BB82468AA36D6419BF73D4FFFB0F67704,LeadershipProfilePage.aspx,/sites/Publishing/_catalogs/masterpage/LeadershipProfilePage.aspx,https://intranet.poc.com/sites/Publishing,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/Publishing
Portal_Content_01,0x,False,Leadership Profile~0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF3900242457EFB8B24247815D688C526CD44D007BB82468AA36D6419BF73D4FFFB0F67704,LeadershipProfilePage.aspx,/sites/TMaster2publishing/_catalogs/masterpage/LeadershipProfilePage.aspx,https://intranet.poc.com/sites/TMaster2publishing,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/TMaster2publishing
Portal_Content_01,0x,False,News Article~0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF3900242457EFB8B24247815D688C526CD44D00D83B722D3EE241439E7B87D673A55936,NewsArticlePageFull.aspx,/sites/Publishing/_catalogs/masterpage/NewsArticlePageFull.aspx,https://intranet.poc.com/sites/Publishing,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/Publishing
Portal_Content_01,0x,False,News Article~0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF3900242457EFB8B24247815D688C526CD44D00D83B722D3EE241439E7B87D673A55936,NewsArticlePageFull.aspx,/sites/TMaster2publishing/_catalogs/masterpage/NewsArticlePageFull.aspx,https://intranet.poc.com/sites/TMaster2publishing,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/TMaster2publishing
